,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
0,Get Rich Or Die Tryin',50 Cent,In Da Club,2003-02-06,74,0.49559527964706873,1.7225427490930227,0.18754774009772257,-0.1569831916357758,0.2071369800275765,-0.7704157438232413,-0.7397847064642589,1.4802851955300176,-1.2186800727216054,2.6478490796993857,-1.1049311493034417,0.07684638870544681,1.1869153610041638,3,driving
1,Dutty Rock (20th Anniversary),Sean Paul,Get Busy,2022-11-11,72,2.232039524807639,0.5631822203046256,0.8260330564533973,-0.1569831916357758,1.307977643836105,-0.32478524747255477,-0.12294860490240009,0.8058517866626922,-1.2186800727216054,-0.6754906170536475,-0.7335119101763957,0.07684638870544681,0.8346174131573008,0,dance
2,Curtain Call: The Hits (Deluxe Edition),Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",2005-12-06,75,-0.7371820302222946,0.21033336371685238,0.33489050541057075,-0.15175133076285882,-0.893703683780952,2.4861148064317757,1.3690376335324204,0.5976506904359097,0.8205599011451459,1.6885784808931865,1.8685802644620157,0.07684638870544681,-2.088574809102044,3,driving
3,Dangerously In Love,Beyoncé,Crazy In Love (feat. Jay-Z),2003-06-24,76,-0.767545278463944,-0.1209125016512605,0.4945118344994896,-0.1569831916357758,-0.893703683780952,0.27429394781383243,-0.7650222846268379,-0.4043787560963051,-1.2186800727216054,1.3581630524154953,-0.7719446777576225,0.07684638870544681,0.6408535418415264,3,driving
4,Hard Candy,Counting Crows,Big Yellow Taxi,2002-07-08,59,-0.7652888819871817,0.10951940469177511,1.0838828957508815,-0.1569831916357758,-1.1689138497330842,0.015730319162005534,-0.10810297068911828,0.7081650163951496,0.8205599011451459,-0.539061020778988,-1.1787249884841426,0.07684638870544681,1.3498531618833376,1,positive
5,Elephunk,Black Eyed Peas,Where Is The Love?,2003-06-24,77,-0.23528097043464039,1.2328749481140722,0.058622820448980435,-0.1569831916357758,-0.06807318592455565,1.1655549405152055,-0.32336466678170434,1.2602432786647453,0.8205599011451459,0.8465520663855223,-0.9576725812257992,0.07684638870544681,1.204530258396507,1,positive
6,Jenny From The Block - The Remixes,Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,2002-09-26,55,-0.743656907068656,1.2760809305533913,0.44539757939520686,-0.15693656252114008,0.2071369800275765,-0.8610599250040237,-0.8392504556932469,0.15904695928517681,0.8205599011451459,1.3581630524154953,-0.7418859385076051,0.07684638870544681,1.8078404940842594,3,driving
7,Elephunk,Black Eyed Peas,Shut Up,2003-06-24,67,-0.4516007196198979,1.0240460329906969,0.16912989443361656,-0.1569831916357758,-0.893703683780952,1.7447031894263476,0.5451049346952808,0.8981115141375933,0.8205599011451459,1.7845055407738066,-0.2664312819033069,0.07684638870544681,0.20488483138103325,3,driving
8,Elephant,The White Stripes,Seven Nation Army,2003-04-01,81,-0.7606289327416944,0.5775842144510653,-1.494615497223959,1.3024957279959033,-0.3432833518766878,0.17569207919821625,1.205735657186321,-1.0018468308134456,-1.2186800727216054,-0.3226922079371452,0.12144347141170517,0.07684638870544681,-1.1338473704370453,0,dance
9,Fallen,Evanescence,Bring Me To Life,2003-03-04,79,-0.7443926885284698,-2.3892265797155154,1.556607601129602,-0.15695771259700933,-0.3432833518766878,0.2684175017081091,0.5005680320554353,1.2770177745692726,-1.2186800727216054,-0.30670436462370854,-0.9384379135305324,0.07684638870544681,-1.0545803321715015,0,dance
